               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.020347,            0.046859,             0.00249,             0.81127,             0.82394,             0.88677,             0.70834,            0.017199,            0.034088,           0.0022892,             0.00307,             0.00307,             0.00307
                  37,            0.020274,            0.047265,           0.0024498,             0.82541,             0.81579,             0.88739,             0.71033,            0.017078,            0.034114,           0.0021993,            0.002872,            0.002872,            0.002872
                  38,            0.020131,             0.04622,           0.0024339,              0.8125,             0.82502,             0.88648,             0.71139,             0.01697,            0.034015,           0.0021662,            0.002674,            0.002674,            0.002674
                  39,            0.020289,            0.046317,           0.0023442,             0.81571,             0.82735,             0.88688,             0.71386,            0.016966,            0.033927,           0.0022149,            0.002476,            0.002476,            0.002476
                  40,            0.020055,            0.046055,           0.0023446,              0.8196,             0.81321,             0.88552,             0.71472,            0.016874,             0.03381,           0.0022885,            0.002278,            0.002278,            0.002278
                  41,             0.01987,            0.045825,            0.002304,             0.82165,             0.81584,             0.88607,             0.71386,            0.016936,             0.03398,           0.0022388,             0.00208,             0.00208,             0.00208
                  42,            0.019905,            0.046194,            0.002254,             0.82836,             0.81565,             0.88645,             0.71426,            0.016877,             0.03375,            0.002223,            0.001882,            0.001882,            0.001882
                  43,            0.019607,            0.045614,           0.0022027,             0.81204,             0.82615,             0.88599,             0.71517,            0.016813,            0.033945,           0.0022978,            0.001684,            0.001684,            0.001684
                  44,            0.019589,            0.045291,           0.0022603,             0.81471,             0.82421,             0.88632,             0.71603,             0.01675,            0.033672,           0.0023159,            0.001486,            0.001486,            0.001486
                  45,            0.019445,            0.045327,           0.0022309,             0.82738,             0.81277,             0.88681,             0.71655,            0.016877,            0.033684,           0.0022337,            0.001288,            0.001288,            0.001288
                  46,            0.019355,            0.044863,           0.0021452,             0.82386,             0.81552,             0.88516,             0.71563,            0.016779,            0.033821,           0.0023556,             0.00109,             0.00109,             0.00109
                  47,            0.019258,            0.044635,           0.0021582,             0.81735,             0.81973,              0.8849,              0.7162,            0.016692,              0.0337,            0.002265,            0.000892,            0.000892,            0.000892
                  48,            0.019246,             0.04502,           0.0021031,             0.81997,             0.81778,             0.88518,             0.71629,            0.016695,             0.03365,           0.0023175,            0.000694,            0.000694,            0.000694
                  49,            0.019218,            0.044568,           0.0020579,             0.81891,             0.81711,             0.88495,             0.71695,            0.016633,            0.033684,           0.0022638,            0.000496,            0.000496,            0.000496
